,country,restaurant_cnt,cuisines_cnt,cuisine_no_1,cuisine_no_2,cuisine_no_3,cuisine_no_1_cnt,cuisine_no_2_cnt,cuisine_no_3_cnt,cuisine_no_1_prt,cuisine_no_1_country,cuisine_no_2_prt,cuisine_no_2_country,cuisine_no_3_prt,cuisine_no_3_country,national_cuisine_cnt,national_cuisine_prt,€,€€-€€€,€€€€,level_cnt,level_low_part,level_medium_part,level_high_part,vegetarian_friendly,vegan_options,gluten_free,vegetarian_friendly_flg,vegan_options_flg,gluten_free_flg,meals_lunch_flg,meals_dinner_flg,meals_drinks_flg,meals_brunch_flg,meals_after_hours_flg,meals_breakfast_flg,features_seating_flg,features_reservations_flg,features_table_service_flg,features_wheelchair_accessible_flg,features_serves_alcohol_flg,features_takeout_flg,features_outdoor_seating_flg,features_accepts_credit_cards_flg,features_highchairs_available_flg,features_full_bar_flg,features_free_wifi_flg,excellent,very_good,average,poor,terrible,total_reviews_count,corrrect_reviews_cnt,excellent_flg,excellent_and_very_good_flg,terrible_flg,terrible_and_poor_flg,open_days_per_week,open_hours_per_week,working_shifts_per_week,avg_rating,food,service,value,atmosphere,price_min,price_max,break_flg,min_open_dttm_avg,min_open_sec_avg,max_close_dttm_avg,max_close_sec_avg,max_break_hours_avg,max_no_weekend_hours_avg,max_weekend_hours_avg,open_mon_hours_avg,open_tue_hours_avg,open_wed_hours_avg,open_thu_hours_avg,open_fri_hours_avg,open_sat_hours_avg,open_sun_hours_avg
10,Hungary,7431,6282,European,Hungarian,Central European,3732,3288,1109,0.5940783190066857,,0.5234001910219676,Hungary,0.17653613498885706,,3288.0,0.44247073072264836,1748,3501,169,5418,0.3226282761166482,0.6461794019933554,0.031192321889996308,1823,810,582,0.2453236441932445,0.10900282599919257,0.0783205490512717,0.44556587269546494,0.4267258780783206,0.13201453371013322,0.061902839456331585,0.05329027048849415,0.16417709594940116,0.10025568564123268,0.11774996635715247,0.11155968241151931,0.048580271834208044,0.08074283407347597,0.08047369129323106,0.059615125824249764,0.04790741488359575,0.03404656170098237,0.03256627640963531,0.06163369667608666,194041.0,74883.0,27408.0,14650.0,18327.0,692990.0,329309.0,0.5892368565693619,0.81663118833679,0.05565289743068061,0.10013999010048313,6.471470732907034,71.77538121003444,6.538858829316282,4.145468053491828,4.196787148594377,4.157686882933709,4.11292150750921,4.126130198915009,3.0,12.0,0.015494343334972946,2022-01-01 10:08:03.792424960,1641017284.0,2022-01-01 21:41:38.780128000,1641058899.0,0 days 00:03:04.604033448,0 days 11:16:30.383669454,0 days 10:37:34.058042302,0 days 09:44:03.438268569,0 days 10:22:42.734874570,0 days 10:36:32.346286276,0 days 10:49:14.889326119,0 days 11:08:56.635514019,0 days 10:30:10.698475160,0 days 08:30:10.846040334
11,Ireland,11203,9788,Irish,European,Cafe,4580,2863,2446,0.46791990192071925,Ireland,0.2925010216591745,,0.24989783408255006,,4580.0,0.40881906632152104,2179,6184,188,8551,0.2548239971933107,0.7231902701438429,0.021985732662846452,4711,2709,2779,0.420512362759975,0.24181022940283853,0.24805855574399716,0.4680889047576542,0.43122377934481837,0.09051147014192627,0.1848611978934214,0.08158528965455682,0.24368472730518612,0.22154779969650987,0.1486209051147014,0.15165580648040702,0.14781754887083817,0.12059269838436133,0.10568597697045434,0.05168258502186914,0.07274837097206105,0.09470677497098991,0.0703383022404713,0.07747924663036687,717374.0,277847.0,96145.0,52771.0,58665.0,1331565.0,1202802.0,0.5964190282357362,0.8274188104110236,0.04877361361221548,0.09264700258230366,6.45387390482735,62.84523850426617,6.652465212162858,4.135357246446873,4.246658472883699,4.259561602418746,4.107424840570908,4.083560812860176,5.0,20.0,0.05480158048445284,2022-01-01 10:45:08.833533952,1641019509.0,2022-01-01 21:30:50.084178176,1641058250.0,0 days 00:10:22.624978526,0 days 09:58:37.673939186,0 days 09:57:16.213708985,0 days 08:12:45.219034530,0 days 08:34:35.736127813,0 days 09:01:16.110633912,0 days 09:22:28.242570005,0 days 09:45:19.738876482,0 days 09:35:05.339288782,0 days 08:11:02.040886446
12,Italy,224763,195924,Italian,Mediterranean,Pizza,160924,58650,55432,0.8213593025867173,Italy,0.2993507686654009,,0.28292603254323107,,205395.0,0.9138292334592437,60821,104754,6441,172016,0.35357757417914615,0.6089782345828295,0.03744419123802437,75289,27682,31140,0.3349706134906546,0.1231608405298025,0.13854593505158766,0.40596094552929085,0.4637151132526261,0.10190734240066203,0.07281892482303581,0.09969612436210586,0.1494463056641885,0.22058345902128018,0.22716817269746356,0.19296325462820837,0.16428860622077476,0.12020216850638228,0.10312640425692841,0.06079292410227662,0.04255593669776609,0.0408964108861334,0.035726520824157004,0.02417657710566241,2813170.0,1364375.0,514952.0,266360.0,366587.0,29688209.0,5325444.0,0.5282507899810795,0.7844500852886632,0.06883688946874664,0.11885337635697606,6.289305463954137,60.45299170232076,8.503441394821841,4.038021196318281,4.098254032704588,3.9787568466929737,3.9359291852769056,3.8888637888309305,10.0,30.0,0.42528706475233796,2022-01-01 10:53:41.586931200,1641020022.0,2022-01-01 22:41:37.781949184,1641062498.0,0 days 01:40:55.657247222,0 days 09:39:41.271371316,0 days 09:39:20.538785450,0 days 07:04:59.672264218,0 days 08:15:08.497285780,0 days 08:42:38.744863274,0 days 09:07:33.259601238,0 days 09:29:54.030236924,0 days 09:25:33.369692050,0 days 08:03:10.938562224
13,Poland,24698,19033,European,Polish,Italian,10094,8865,3254,0.5303420375137918,,0.46576997845846685,Poland,0.1709662165712184,Italy,8865.0,0.358935946230464,6710,8976,342,16028,0.41864237584227604,0.560019965061143,0.021337659096580985,3443,1453,780,0.13940400032391287,0.058830674548546444,0.03158150457526925,0.46829702809944124,0.4587415985100008,0.1648311604178476,0.10272086808648473,0.1028018463033444,0.18778848489756256,0.04421410640537695,0.0746619159446109,0.08389343266661269,0.031824439225848246,0.0491537776338165,0.06624018139120577,0.03866709855048992,0.052473884525062756,0.020001619564337193,0.028909223418900315,0.037088023321726456,209896.0,91072.0,32573.0,15512.0,18702.0,1222023.0,367755.0,0.5707495479327269,0.8183926799091786,0.050854509116123506,0.09303476499299805,6.728129205921938,77.26217661133542,6.77396440855391,4.109489402697495,4.166964907048414,4.150177725118484,4.076900149031297,4.082375478927203,2.0,9.0,0.009496037086885002,2022-01-01 09:50:52.628981760,1641016253.0,2022-01-01 21:58:15.580977920,1641059896.0,0 days 00:02:17.411395245,0 days 11:47:11.139524450,0 days 11:28:20.919694930,0 days 10:26:15.737999103,0 days 11:05:04.239569314,0 days 11:10:34.176760879,0 days 11:14:30.632570659,0 days 11:38:22.503364738,0 days 11:21:02.440556303,0 days 10:12:22.418124720
14,Portugal,32592,28680,European,Portuguese,Mediterranean,21440,21352,6867,0.7475592747559274,,0.7444909344490934,Portugal,0.23943514644351466,,21352.0,0.6551300932744232,7956,16785,686,25427,0.31289574074802373,0.6601250639084438,0.026979195343532464,6577,3311,3372,0.20179798723613157,0.1015893470790378,0.10346097201767304,0.5287187039764359,0.5309278350515464,0.11628620520373098,0.07759572901325479,0.08020373097692686,0.15463917525773196,0.2847631320569465,0.2346894943544428,0.2644207167403044,0.15537555228276878,0.18832842415316642,0.08413107511045656,0.08769023073146784,0.057928325969563085,0.07863892979872361,0.08474472263132057,0.0778718703976436,701762.0,273124.0,91191.0,43884.0,53189.0,3442759.0,1163150.0,0.6033288913725658,0.8381429738210893,0.045728409921334305,0.08345699178953703,6.287847610088776,65.61150861308718,7.887000999470868,4.151862073665201,4.202260488786319,4.167637026581981,4.065466014266344,4.023893065998329,7.0,20.0,0.29566699982362277,2022-01-01 10:38:35.028514304,1641019115.0,2022-01-01 22:34:38.414956800,1641062078.0,0 days 01:08:23.556940443,0 days 10:36:11.866658828,0 days 10:12:15.517667117,0 days 08:07:32.777941090,0 days 09:22:03.513434064,0 days 09:47:29.123405256,0 days 10:07:04.169557293,0 days 10:26:25.285437122,0 days 10:00:35.779881239,0 days 07:29:04.585807514
15,Romania,7842,6865,European,Romanian,Italian,3766,2748,1484,0.5485797523670793,,0.40029133284777857,Romania,0.2161689730517116,Italy,2748.0,0.35042081101759753,1514,3433,213,5160,0.2934108527131783,0.6653100775193799,0.04127906976744186,1357,685,312,0.1730425911757205,0.08735016577403723,0.03978576893649579,0.4797245600612089,0.4747513389441469,0.13976026523845958,0.14333078296352972,0.07510839071665391,0.24942616679418517,0.16845192552920174,0.16462637082376944,0.1499617444529457,0.053685284366233106,0.10086712573323132,0.07447079826574854,0.07957153787299158,0.047436878347360364,0.031114511604182608,0.045524100994644226,0.06312165263963275,135590.0,50822.0,22661.0,12343.0,16969.0,312693.0,238385.0,0.5687857876963736,0.781978731883298,0.0711831700820102,0.12296075675902426,6.727340637450199,84.93549136786189,6.794820717131474,4.0998445998446,4.123928133932218,4.0290836653386455,4.003604325190229,4.056818181818182,3.0,14.0,0.01444223107569721,2022-01-01 09:08:42.370518016,1641013722.0,2022-01-01 22:22:35.483067904,1641061355.0,0 days 00:03:24.158366534,0 days 12:50:07.380478088,0 days 12:09:22.739043825,0 days 12:01:30.881474104,0 days 12:23:06.678286853,0 days 12:25:35.229083665,0 days 12:29:55.607569721,0 days 12:32:26.743027888,0 days 11:53:12.878486056,0 days 10:57:50.348605578
16,Slovakia,4251,3147,European,Central European,Cafe,1368,630,599,0.43469971401334606,,0.2001906577693041,,0.19034000635525897,,0.0,0.0,809,1768,65,2642,0.30620741862225587,0.6691900075700227,0.024602573807721424,508,188,131,0.11950129381322042,0.04422488826158551,0.03081627852270054,0.4601270289343684,0.4398964949423665,0.15384615384615385,0.0788049870618678,0.05434015525758645,0.2006586685485768,0.14749470712773466,0.1460832745236415,0.12208892025405788,0.06233827334744766,0.08303928487414726,0.07315925664549518,0.0724535403434486,0.04634203716772524,0.043048694424841216,0.045871559633027525,0.0724535403434486,30091.0,14691.0,5498.0,2690.0,3499.0,127940.0,56469.0,0.5328764454833625,0.7930368874957942,0.061963201048362816,0.10959995749880465,6.504710632570659,73.5749663526245,6.608793180798564,4.119489559164733,4.1875917767988255,4.095797720797721,4.077945402298851,4.196696696696697,3.0,14.0,0.02826379542395693,2022-01-01 09:31:09.313593600,1641015069.0,2022-01-01 21:44:07.294750976,1641059047.0,0 days 00:07:00.726783311,0 days 11:50:13.216689098,0 days 10:07:44.710632571,0 days 10:37:57.092866756,0 days 11:01:23.849259758,0 days 11:06:01.668909825,0 days 11:07:04.629878869,0 days 11:37:31.386271871,0 days 09:59:24.037685061,0 days 07:50:02.368775236
17,Spain,157479,134965,Spanish,Mediterranean,European,85973,54333,23803,0.6370021857518616,Spain,0.4025710369355018,,0.17636424258141,,85973.0,0.5459331085414563,33489,79406,3913,116808,0.2867012533388124,0.679799328813095,0.0334994178480926,37739,19962,20654,0.23964465103283614,0.12675975844398302,0.13115399513585937,0.45689901510677616,0.46857676261596787,0.11860629036252453,0.1037027159176779,0.09830517084817658,0.20308739577975476,0.23705382939947547,0.21292997796531601,0.22864000914407634,0.1557477504937166,0.14915004540287913,0.06953308060122303,0.07656893935064357,0.05518196076937242,0.03432203658900552,0.06168441506486579,0.037833615910692855,2403730.0,981613.0,357130.0,182048.0,273842.0,14667345.0,4198363.0,0.5725398208778041,0.8063483314806271,0.06522589876101709,0.10858756138999891,6.297108147365641,66.48993375588715,7.851168625379638,3.959885888916926,4.053639467563957,4.0182472797752675,3.9357420577306397,3.9513271526543052,8.0,22.0,0.31469694968968703,2022-01-01 10:30:35.714776064,1641018636.0,2022-01-01 22:47:09.440908544,1641062829.0,0 days 01:10:07.109203750,0 days 10:49:33.188168493,0 days 10:31:09.086755579,0 days 07:58:56.631189753,0 days 09:06:38.377657467,0 days 09:36:02.697741978,0 days 10:04:11.641885646,0 days 10:38:07.494255909,0 days 10:21:37.393635283,0 days 08:25:41.734583388
18,Sweden,18555,13384,European,Swedish,Cafe,5319,4400,2038,0.3974148236700538,,0.328750747160789,Sweden,0.15227136879856545,,4400.0,0.23713284828887093,1814,8428,493,10735,0.16897997205402887,0.7850954820680018,0.04592454587796926,3395,1555,1269,0.18296954998652654,0.08380490433845325,0.06839126919967664,0.3590945836701698,0.3478307733764484,0.07960118566424144,0.04268391269199676,0.06052277014281865,0.09064942064133656,0.09393694421988683,0.09366747507410401,0.060414982484505525,0.0631096739423336,0.03535435192670439,0.05987604419293991,0.032821341956346,0.04510913500404204,0.026515763945028293,0.024791161412018325,0.017030450013473458,92437.0,70524.0,27060.0,11504.0,11329.0,738843.0,212854.0,0.4342741973371419,0.7655998947635468,0.05322427579467616,0.10727071137963111,6.25246600906425,58.243135163956275,6.5146627565982405,3.8604762474572216,3.9742581090407176,3.928718159408381,3.7949917446340122,3.9182347670250897,8.0,22.0,0.06531591575579845,2022-01-01 10:36:03.255132160,1641018963.0,2022-01-01 21:09:16.947480576,1641056957.0,0 days 00:12:51.170354572,0 days 09:40:33.031191682,0 days 08:46:57.352705945,0 days 07:36:13.372434018,0 days 08:22:43.684350840,0 days 08:43:22.122100773,0 days 08:51:15.659824047,0 days 09:27:24.153559051,0 days 08:38:37.118101840,0 days 06:16:24.193548387
19,The Netherlands,29792,25588,European,Dutch,Seafood,15332,12410,4759,0.5991871189620135,,0.4849929654525559,The Netherlands,0.1859856182585587,,12410.0,0.4165547798066595,4138,17497,722,22357,0.18508744464820862,0.7826184192870242,0.032294136064767186,12271,3665,3431,0.4118890977443609,0.12301960257787325,0.11516514500537058,0.40816326530612246,0.5118488184747583,0.10566595059076261,0.15953947368421054,0.0340359828141783,0.130437701396348,0.12755102040816327,0.14456901181525242,0.10331632653061225,0.08968850698174007,0.060519602577873255,0.04205827067669173,0.04192400644468314,0.02027389903329753,0.023361976369495167,0.018629162191192268,0.02614795918367347,311693.0,183234.0,59830.0,26090.0,29142.0,1824104.0,609989.0,0.5109813455652479,0.8113703689738667,0.047774632001560687,0.09054589508991145,6.233037835332291,59.62710759603685,6.330262471753867,4.0652439928804505,4.086359114648097,4.096163335800641,3.9627580665100752,4.011134676564157,7.0,22.0,0.024566892635726287,2022-01-01 11:38:28.479054336,1641022708.0,2022-01-01 21:56:17.914131712,1641059778.0,0 days 00:04:59.829654094,0 days 09:49:56.613940553,0 days 09:39:49.184773162,0 days 06:29:00.055623153,0 days 07:45:23.928385190,0 days 08:47:55.612723796,0 days 09:13:24.825308535,0 days 09:40:30.822179732,0 days 09:29:32.299669738,0 days 08:03:18.953589432
20,United Kingdom,171664,147174,British,Cafe,Bar,64264,34735,28771,0.4366532132034191,United Kingdom,0.23601315449739763,,0.19548969247285525,,70193.0,0.4088976139435176,44319,85259,2492,132070,0.3355720451275839,0.6455591731657454,0.018868781706670706,75911,43119,42714,0.44220686923292013,0.2511825426414391,0.24882328269176998,0.5167187063100009,0.48303662969521854,0.10748904837356697,0.1872378600055923,0.08941886475906421,0.24260182682449435,0.20392743964954796,0.13351081181843602,0.11207358560909685,0.15012466213067388,0.1108269643023581,0.1387011837077081,0.07095838381955448,0.07690022369279523,0.10117438717494641,0.07974881163202535,0.07117392114828969,12533437.0,4966746.0,2126588.0,1344001.0,1628584.0,23223345.0,22599356.0,0.5545926618439924,0.7743664465482999,0.07206329242302303,0.13153405787315356,6.510160105839387,61.267496243599595,7.003770924272552,4.0074056287833795,4.1294583946009125,4.131486486486486,4.022993127308429,3.9382110813060773,6.0,20.0,0.10812095477267505,2022-01-01 10:57:16.367395584,1641020236.0,2022-01-01 21:17:06.798120960,1641057427.0,0 days 00:19:38.617433395,0 days 09:39:39.733024899,0 days 09:34:20.593524467,0 days 07:59:10.169612371,0 days 08:30:35.994581277,0 days 08:55:12.575240238,0 days 09:06:52.480808689,0 days 09:29:12.915574076,0 days 09:23:38.662114094,0 days 07:43:47.875369368
