,country,restaurant_cnt,cuisine,cuisine_cnt
145,The Netherlands,29792,Pub,1637.0
146,United Kingdom,171664,Pub,27657.0
147,Austria,20487,Gastropub,413.0
148,Belgium,23711,Gastropub,359.0
149,Bulgaria,4469,Gastropub,31.0
150,Croatia,8375,Gastropub,26.0
151,Czech Republic,14844,Gastropub,330.0
152,Denmark,9485,Gastropub,37.0
153,Finland,7372,Gastropub,117.0
154,France,155288,Gastropub,3173.0
155,Germany,115333,Gastropub,1449.0
156,Greece,33763,Gastropub,131.0
157,Hungary,7431,Gastropub,95.0
158,Ireland,11203,Gastropub,322.0
159,Italy,224763,Gastropub,2782.0
160,Poland,24698,Gastropub,388.0
161,Portugal,32592,Gastropub,283.0
162,Romania,7842,Gastropub,92.0
163,Slovakia,4251,Gastropub,73.0
164,Spain,157479,Gastropub,1496.0
165,Sweden,18555,Gastropub,121.0
166,The Netherlands,29792,Gastropub,197.0
167,United Kingdom,171664,Gastropub,2849.0
168,Austria,20487,Diner,656.0
169,Belgium,23711,Diner,193.0
170,Bulgaria,4469,Diner,110.0
171,Croatia,8375,Diner,80.0
172,Czech Republic,14844,Diner,369.0
173,Denmark,9485,Diner,210.0
174,Finland,7372,Diner,168.0
175,France,155288,Diner,961.0
176,Germany,115333,Diner,3425.0
177,Greece,33763,Diner,1018.0
178,Hungary,7431,Diner,120.0
179,Ireland,11203,Diner,141.0
180,Italy,224763,Diner,580.0
181,Poland,24698,Diner,269.0
182,Portugal,32592,Diner,265.0
183,Romania,7842,Diner,71.0
184,Slovakia,4251,Diner,30.0
185,Spain,157479,Diner,2334.0
186,Sweden,18555,Diner,332.0
187,The Netherlands,29792,Diner,508.0
188,United Kingdom,171664,Diner,1604.0
189,Austria,20487,Italian,2000.0
190,Belgium,23711,Italian,3021.0
191,Bulgaria,4469,Italian,615.0
192,Croatia,8375,Italian,1057.0
193,Czech Republic,14844,Italian,1158.0
194,Denmark,9485,Italian,843.0
195,Finland,7372,Italian,416.0
196,France,155288,Italian,16140.0
197,Germany,115333,Italian,15251.0
198,Greece,33763,Italian,2074.0
199,Hungary,7431,Italian,808.0
200,Ireland,11203,Italian,699.0
201,Italy,224763,Italian,160924.0
202,Poland,24698,Italian,3254.0
203,Portugal,32592,Italian,1965.0
204,Romania,7842,Italian,1484.0
205,Slovakia,4251,Italian,406.0
206,Spain,157479,Italian,10611.0
207,Sweden,18555,Italian,1039.0
208,The Netherlands,29792,Italian,2608.0
209,United Kingdom,171664,Italian,9450.0
