,country,restaurant_cnt,cuisine,cuisine_cnt
721,Hungary,7431,Barbecue,93.0
722,Ireland,11203,Barbecue,58.0
723,Italy,224763,Barbecue,11682.0
724,Poland,24698,Barbecue,192.0
725,Portugal,32592,Barbecue,1096.0
726,Romania,7842,Barbecue,190.0
727,Slovakia,4251,Barbecue,131.0
728,Spain,157479,Barbecue,4124.0
729,Sweden,18555,Barbecue,451.0
730,The Netherlands,29792,Barbecue,476.0
731,United Kingdom,171664,Barbecue,1235.0
732,Austria,20487,Street Food,114.0
733,Belgium,23711,Street Food,223.0
734,Bulgaria,4469,Street Food,64.0
735,Croatia,8375,Street Food,148.0
736,Czech Republic,14844,Street Food,115.0
737,Denmark,9485,Street Food,58.0
738,Finland,7372,Street Food,127.0
739,France,155288,Street Food,2088.0
740,Germany,115333,Street Food,850.0
741,Greece,33763,Street Food,542.0
742,Hungary,7431,Street Food,266.0
743,Ireland,11203,Street Food,91.0
744,Italy,224763,Street Food,2293.0
745,Poland,24698,Street Food,103.0
746,Portugal,32592,Street Food,167.0
747,Romania,7842,Street Food,98.0
748,Slovakia,4251,Street Food,59.0
749,Spain,157479,Street Food,1271.0
750,Sweden,18555,Street Food,212.0
751,The Netherlands,29792,Street Food,338.0
752,United Kingdom,171664,Street Food,1516.0
753,Austria,20487,Healthy,334.0
754,Belgium,23711,Healthy,567.0
755,Bulgaria,4469,Healthy,163.0
756,Croatia,8375,Healthy,174.0
757,Czech Republic,14844,Healthy,312.0
758,Denmark,9485,Healthy,189.0
759,Finland,7372,Healthy,152.0
760,France,155288,Healthy,4283.0
761,Germany,115333,Healthy,1951.0
762,Greece,33763,Healthy,1203.0
763,Hungary,7431,Healthy,270.0
764,Ireland,11203,Healthy,434.0
765,Italy,224763,Healthy,3057.0
766,Poland,24698,Healthy,910.0
767,Portugal,32592,Healthy,1389.0
768,Romania,7842,Healthy,205.0
769,Slovakia,4251,Healthy,144.0
770,Spain,157479,Healthy,5634.0
771,Sweden,18555,Healthy,259.0
772,The Netherlands,29792,Healthy,806.0
773,United Kingdom,171664,Healthy,3732.0
774,Austria,20487,Slovenian,10.0
775,Bulgaria,4469,Slovenian,1.0
776,Croatia,8375,Slovenian,15.0
777,Czech Republic,14844,Slovenian,4.0
778,France,155288,Slovenian,2.0
779,Germany,115333,Slovenian,5.0
780,Greece,33763,Slovenian,2.0
781,Hungary,7431,Slovenian,1.0
782,Italy,224763,Slovenian,73.0
783,Poland,24698,Slovenian,3.0
784,Portugal,32592,Slovenian,1.0
785,Romania,7842,Slovenian,1.0
786,Slovakia,4251,Slovenian,25.0
787,Spain,157479,Slovenian,25.0
788,Sweden,18555,Slovenian,4.0
789,The Netherlands,29792,Slovenian,3.0
790,United Kingdom,171664,Slovenian,2.0
791,Austria,20487,Romana,5.0
792,Belgium,23711,Romana,12.0
793,Bulgaria,4469,Romana,2.0
794,Czech Republic,14844,Romana,7.0
795,Denmark,9485,Romana,3.0
796,Finland,7372,Romana,6.0
797,France,155288,Romana,154.0
798,Germany,115333,Romana,17.0
799,Greece,33763,Romana,4.0
800,Hungary,7431,Romana,10.0
801,Ireland,11203,Romana,6.0
802,Italy,224763,Romana,3094.0
803,Poland,24698,Romana,27.0
804,Portugal,32592,Romana,16.0
805,Romania,7842,Romana,59.0
806,Slovakia,4251,Romana,2.0
807,Spain,157479,Romana,163.0
808,Sweden,18555,Romana,1.0
809,The Netherlands,29792,Romana,14.0
810,United Kingdom,171664,Romana,51.0
811,Austria,20487,Lazio,6.0
812,Belgium,23711,Lazio,11.0
813,Bulgaria,4469,Lazio,2.0
814,Czech Republic,14844,Lazio,7.0
815,Denmark,9485,Lazio,4.0
816,Finland,7372,Lazio,5.0
817,France,155288,Lazio,152.0
818,Germany,115333,Lazio,20.0
819,Greece,33763,Lazio,7.0
820,Hungary,7431,Lazio,10.0
821,Ireland,11203,Lazio,7.0
822,Italy,224763,Lazio,3209.0
823,Poland,24698,Lazio,28.0
824,Portugal,32592,Lazio,17.0
825,Romania,7842,Lazio,55.0
826,Slovakia,4251,Lazio,2.0
827,Spain,157479,Lazio,163.0
828,Sweden,18555,Lazio,1.0
829,The Netherlands,29792,Lazio,15.0
830,United Kingdom,171664,Lazio,50.0
831,Austria,20487,Steakhouse,233.0
832,Belgium,23711,Steakhouse,285.0
833,Bulgaria,4469,Steakhouse,133.0
834,Croatia,8375,Steakhouse,140.0
835,Czech Republic,14844,Steakhouse,261.0
836,Denmark,9485,Steakhouse,184.0
837,Finland,7372,Steakhouse,147.0
838,France,155288,Steakhouse,1163.0
839,Germany,115333,Steakhouse,1696.0
840,Greece,33763,Steakhouse,1787.0
841,Hungary,7431,Steakhouse,76.0
842,Ireland,11203,Steakhouse,171.0
843,Italy,224763,Steakhouse,3478.0
844,Poland,24698,Steakhouse,237.0
845,Portugal,32592,Steakhouse,525.0
846,Romania,7842,Steakhouse,120.0
847,Slovakia,4251,Steakhouse,102.0
848,Spain,157479,Steakhouse,5451.0
849,Sweden,18555,Steakhouse,205.0
850,The Netherlands,29792,Steakhouse,480.0
851,United Kingdom,171664,Steakhouse,1637.0
852,Austria,20487,Chinese,542.0
853,Belgium,23711,Chinese,886.0
854,Bulgaria,4469,Chinese,44.0
855,Croatia,8375,Chinese,53.0
856,Czech Republic,14844,Chinese,188.0
857,Denmark,9485,Chinese,228.0
858,Finland,7372,Chinese,225.0
859,France,155288,Chinese,4201.0
860,Germany,115333,Chinese,2776.0
861,Greece,33763,Chinese,208.0
862,Hungary,7431,Chinese,85.0
863,Ireland,11203,Chinese,602.0
864,Italy,224763,Chinese,4272.0
865,Poland,24698,Chinese,277.0
866,Portugal,32592,Chinese,373.0
867,Romania,7842,Chinese,100.0
868,Slovakia,4251,Chinese,33.0
869,Spain,157479,Chinese,2707.0
870,Sweden,18555,Chinese,403.0
871,The Netherlands,29792,Chinese,1300.0
872,United Kingdom,171664,Chinese,9543.0
873,Austria,20487,Thai,184.0
874,Belgium,23711,Thai,464.0
875,Bulgaria,4469,Thai,8.0
876,Croatia,8375,Thai,21.0
877,Czech Republic,14844,Thai,158.0
878,Denmark,9485,Thai,204.0
879,Finland,7372,Thai,155.0
880,France,155288,Thai,2422.0
881,Germany,115333,Thai,1640.0
882,Greece,33763,Thai,76.0
883,Hungary,7431,Thai,76.0
884,Ireland,11203,Thai,298.0
885,Italy,224763,Thai,336.0
886,Poland,24698,Thai,328.0
887,Portugal,32592,Thai,88.0
888,Romania,7842,Thai,15.0
889,Slovakia,4251,Thai,50.0
890,Spain,157479,Thai,744.0
891,Sweden,18555,Thai,677.0
892,The Netherlands,29792,Thai,382.0
893,United Kingdom,171664,Thai,2678.0
894,Austria,20487,Greek,202.0
895,Belgium,23711,Greek,414.0
896,Bulgaria,4469,Greek,129.0
897,Croatia,8375,Greek,14.0
898,Czech Republic,14844,Greek,65.0
899,Denmark,9485,Greek,43.0
900,Finland,7372,Greek,39.0
901,France,155288,Greek,412.0
902,Germany,115333,Greek,4657.0
903,Greece,33763,Greek,22191.0
904,Hungary,7431,Greek,70.0
905,Ireland,11203,Greek,12.0
906,Italy,224763,Greek,340.0
907,Poland,24698,Greek,121.0
908,Portugal,32592,Greek,41.0
909,Romania,7842,Greek,141.0
910,Slovakia,4251,Greek,16.0
911,Spain,157479,Greek,217.0
912,Sweden,18555,Greek,180.0
913,The Netherlands,29792,Greek,484.0
914,United Kingdom,171664,Greek,986.0
915,Austria,20487,Spanish,94.0
916,Belgium,23711,Spanish,312.0
917,Bulgaria,4469,Spanish,45.0
918,Croatia,8375,Spanish,10.0
919,Czech Republic,14844,Spanish,58.0
920,Denmark,9485,Spanish,108.0
921,Finland,7372,Spanish,62.0
922,France,155288,Spanish,1844.0
923,Germany,115333,Spanish,1312.0
924,Greece,33763,Spanish,71.0
925,Hungary,7431,Spanish,47.0
926,Ireland,11203,Spanish,69.0
927,Italy,224763,Spanish,563.0
928,Poland,24698,Spanish,149.0
929,Portugal,32592,Spanish,421.0
930,Romania,7842,Spanish,64.0
931,Slovakia,4251,Spanish,19.0
932,Spain,157479,Spanish,85973.0
933,Sweden,18555,Spanish,198.0
934,The Netherlands,29792,Spanish,530.0
935,United Kingdom,171664,Spanish,1242.0
936,Austria,20487,Croatian,84.0
937,Belgium,23711,Croatian,13.0
938,Bulgaria,4469,Croatian,2.0
939,Croatia,8375,Croatian,5287.0
940,Czech Republic,14844,Croatian,15.0
941,Denmark,9485,Croatian,2.0
942,Finland,7372,Croatian,5.0
943,France,155288,Croatian,6.0
944,Germany,115333,Croatian,805.0
945,Greece,33763,Croatian,5.0
946,Hungary,7431,Croatian,2.0
947,Ireland,11203,Croatian,4.0
948,Italy,224763,Croatian,6.0
949,Poland,24698,Croatian,17.0
950,Slovakia,4251,Croatian,4.0
951,Spain,157479,Croatian,5.0
952,Sweden,18555,Croatian,4.0
953,The Netherlands,29792,Croatian,4.0
954,United Kingdom,171664,Croatian,9.0
955,Austria,20487,American,369.0
956,Belgium,23711,American,453.0
957,Bulgaria,4469,American,148.0
958,Croatia,8375,American,172.0
959,Czech Republic,14844,American,542.0
960,Denmark,9485,American,410.0
961,Finland,7372,American,313.0
962,France,155288,American,4385.0
963,Germany,115333,American,2466.0
964,Greece,33763,American,746.0
965,Hungary,7431,American,422.0
966,Ireland,11203,American,387.0
967,Italy,224763,American,3933.0
968,Poland,24698,American,1219.0
969,Portugal,32592,American,432.0
970,Romania,7842,American,455.0
971,Slovakia,4251,American,151.0
972,Spain,157479,American,4121.0
973,Sweden,18555,American,753.0
974,The Netherlands,29792,American,821.0
975,United Kingdom,171664,American,5223.0
976,Austria,20487,South American,57.0
977,Belgium,23711,South American,99.0
978,Bulgaria,4469,South American,12.0
979,Croatia,8375,South American,12.0
980,Czech Republic,14844,South American,30.0
981,Denmark,9485,South American,40.0
982,Finland,7372,South American,23.0
983,France,155288,South American,489.0
984,Germany,115333,South American,418.0
985,Greece,33763,South American,35.0
986,Hungary,7431,South American,18.0
987,Ireland,11203,South American,29.0
988,Italy,224763,South American,780.0
989,Poland,24698,South American,65.0
990,Portugal,32592,South American,789.0
991,Romania,7842,South American,31.0
992,Slovakia,4251,South American,6.0
993,Spain,157479,South American,2573.0
994,Sweden,18555,South American,69.0
995,The Netherlands,29792,South American,320.0
996,United Kingdom,171664,South American,425.0
997,Austria,20487,Central American,26.0
998,Belgium,23711,Central American,25.0
999,Bulgaria,4469,Central American,6.0
1000,Croatia,8375,Central American,4.0
1001,Czech Republic,14844,Central American,17.0
1002,Denmark,9485,Central American,12.0
1003,Finland,7372,Central American,16.0
1004,France,155288,Central American,214.0
1005,Germany,115333,Central American,187.0
1006,Greece,33763,Central American,27.0
1007,Hungary,7431,Central American,13.0
1008,Ireland,11203,Central American,8.0
1009,Italy,224763,Central American,272.0
1010,Poland,24698,Central American,48.0
1011,Portugal,32592,Central American,18.0
1012,Romania,7842,Central American,10.0
1013,Slovakia,4251,Central American,1.0
1014,Spain,157479,Central American,388.0
1015,Sweden,18555,Central American,17.0
1016,The Netherlands,29792,Central American,41.0
1017,United Kingdom,171664,Central American,217.0
1018,Austria,20487,Fusion,183.0
1019,Belgium,23711,Fusion,252.0
1020,Bulgaria,4469,Fusion,74.0
1021,Croatia,8375,Fusion,80.0
1022,Czech Republic,14844,Fusion,69.0
1023,Denmark,9485,Fusion,63.0
1024,Finland,7372,Fusion,89.0
1025,France,155288,Fusion,1026.0
1026,Germany,115333,Fusion,644.0
1027,Greece,33763,Fusion,155.0
1028,Hungary,7431,Fusion,61.0
1029,Ireland,11203,Fusion,122.0
1030,Italy,224763,Fusion,1490.0
1031,Poland,24698,Fusion,402.0
1032,Portugal,32592,Fusion,361.0
1033,Romania,7842,Fusion,115.0
1034,Slovakia,4251,Fusion,25.0
1035,Spain,157479,Fusion,3851.0
1036,Sweden,18555,Fusion,131.0
1037,The Netherlands,29792,Fusion,421.0
1038,United Kingdom,171664,Fusion,1088.0
1039,Austria,20487,French,112.0
1040,Belgium,23711,French,4634.0
1041,Bulgaria,4469,French,101.0
1042,Croatia,8375,French,44.0
1043,Czech Republic,14844,French,281.0
1044,Denmark,9485,French,328.0
1045,Finland,7372,French,81.0
1046,France,155288,French,84643.0
1047,Germany,115333,French,1237.0
1048,Greece,33763,French,245.0
1049,Hungary,7431,French,111.0
1050,Ireland,11203,French,143.0
1051,Italy,224763,French,413.0
1052,Poland,24698,French,313.0
1053,Portugal,32592,French,345.0
1054,Romania,7842,French,292.0
1055,Slovakia,4251,French,64.0
1056,Spain,157479,French,1248.0
1057,Sweden,18555,French,283.0
1058,The Netherlands,29792,French,2043.0
1059,United Kingdom,171664,French,1519.0
1060,Austria,20487,Vietnamese,109.0
1061,Belgium,23711,Vietnamese,208.0
1062,Bulgaria,4469,Vietnamese,3.0
1063,Czech Republic,14844,Vietnamese,264.0
1064,Denmark,9485,Vietnamese,77.0
1065,Finland,7372,Vietnamese,82.0
1066,France,155288,Vietnamese,3213.0
1067,Germany,115333,Vietnamese,1844.0
1068,Greece,33763,Vietnamese,14.0
1069,Hungary,7431,Vietnamese,61.0
1070,Ireland,11203,Vietnamese,25.0
1071,Italy,224763,Vietnamese,52.0
1072,Poland,24698,Vietnamese,187.0
1073,Portugal,32592,Vietnamese,22.0
1074,Romania,7842,Vietnamese,18.0
1075,Slovakia,4251,Vietnamese,43.0
1076,Spain,157479,Vietnamese,119.0
1077,Sweden,18555,Vietnamese,131.0
1078,The Netherlands,29792,Vietnamese,126.0
1079,United Kingdom,171664,Vietnamese,407.0
1080,Austria,20487,Brew Pub,102.0
1081,Belgium,23711,Brew Pub,149.0
1082,Bulgaria,4469,Brew Pub,16.0
1083,Croatia,8375,Brew Pub,27.0
1084,Czech Republic,14844,Brew Pub,110.0
1085,Denmark,9485,Brew Pub,41.0
1086,Finland,7372,Brew Pub,15.0
1087,France,155288,Brew Pub,1629.0
1088,Germany,115333,Brew Pub,468.0
1089,Greece,33763,Brew Pub,251.0
1090,Hungary,7431,Brew Pub,38.0
1091,Ireland,11203,Brew Pub,34.0
1092,Italy,224763,Brew Pub,3969.0
1093,Poland,24698,Brew Pub,280.0
1094,Portugal,32592,Brew Pub,189.0
1095,Romania,7842,Brew Pub,40.0
1096,Slovakia,4251,Brew Pub,38.0
1097,Spain,157479,Brew Pub,809.0
1098,Sweden,18555,Brew Pub,38.0
1099,The Netherlands,29792,Brew Pub,45.0
1100,United Kingdom,171664,Brew Pub,857.0
1101,Austria,20487,Beer restaurants,43.0
1102,Belgium,23711,Beer restaurants,31.0
1103,Bulgaria,4469,Beer restaurants,15.0
1104,Croatia,8375,Beer restaurants,17.0
1105,Czech Republic,14844,Beer restaurants,45.0
1106,Denmark,9485,Beer restaurants,9.0
1107,Finland,7372,Beer restaurants,34.0
1108,France,155288,Beer restaurants,77.0
1109,Germany,115333,Beer restaurants,279.0
1110,Greece,33763,Beer restaurants,118.0
1111,Hungary,7431,Beer restaurants,19.0
1112,Ireland,11203,Beer restaurants,13.0
1113,Italy,224763,Beer restaurants,475.0
1114,Poland,24698,Beer restaurants,43.0
1115,Portugal,32592,Beer restaurants,128.0
1116,Romania,7842,Beer restaurants,20.0
1117,Slovakia,4251,Beer restaurants,29.0
1118,Spain,157479,Beer restaurants,427.0
1119,Sweden,18555,Beer restaurants,32.0
1120,The Netherlands,29792,Beer restaurants,40.0
1121,United Kingdom,171664,Beer restaurants,307.0
1122,Austria,20487,Hungarian,40.0
1123,Belgium,23711,Hungarian,3.0
1124,Bulgaria,4469,Hungarian,4.0
1125,Croatia,8375,Hungarian,12.0
1126,Czech Republic,14844,Hungarian,11.0
1127,Denmark,9485,Hungarian,1.0
1128,Finland,7372,Hungarian,3.0
1129,France,155288,Hungarian,10.0
1130,Germany,115333,Hungarian,77.0
1131,Greece,33763,Hungarian,8.0
1132,Hungary,7431,Hungarian,3288.0
1133,Ireland,11203,Hungarian,5.0
1134,Italy,224763,Hungarian,11.0
1135,Poland,24698,Hungarian,31.0
1136,Romania,7842,Hungarian,140.0
1137,Slovakia,4251,Hungarian,54.0
1138,Spain,157479,Hungarian,18.0
1139,Sweden,18555,Hungarian,8.0
1140,The Netherlands,29792,Hungarian,4.0
1141,United Kingdom,171664,Hungarian,53.0
1142,Austria,20487,Dining bars,37.0
1143,Belgium,23711,Dining bars,55.0
1144,Bulgaria,4469,Dining bars,8.0
1145,Croatia,8375,Dining bars,6.0
1146,Czech Republic,14844,Dining bars,70.0
1147,Denmark,9485,Dining bars,26.0
1148,Finland,7372,Dining bars,15.0
1149,France,155288,Dining bars,1495.0
1150,Germany,115333,Dining bars,237.0
1151,Greece,33763,Dining bars,191.0
1152,Hungary,7431,Dining bars,22.0
1153,Ireland,11203,Dining bars,8.0
1154,Italy,224763,Dining bars,884.0
1155,Poland,24698,Dining bars,91.0
1156,Portugal,32592,Dining bars,326.0
1157,Romania,7842,Dining bars,15.0
1158,Slovakia,4251,Dining bars,28.0
1159,Spain,157479,Dining bars,1288.0
1160,Sweden,18555,Dining bars,17.0
1161,The Netherlands,29792,Dining bars,32.0
1162,United Kingdom,171664,Dining bars,207.0
1163,Austria,20487,Balti,10.0
1164,Bulgaria,4469,Balti,1.0
1165,Czech Republic,14844,Balti,1.0
1166,Denmark,9485,Balti,1.0
1167,Finland,7372,Balti,2.0
1168,France,155288,Balti,1.0
1169,Germany,115333,Balti,39.0
1170,Greece,33763,Balti,18.0
1171,Ireland,11203,Balti,92.0
1172,Italy,224763,Balti,7.0
1173,Poland,24698,Balti,7.0
1174,Portugal,32592,Balti,58.0
1175,Romania,7842,Balti,2.0
1176,Spain,157479,Balti,297.0
1177,Sweden,18555,Balti,1.0
1178,The Netherlands,29792,Balti,7.0
1179,United Kingdom,171664,Balti,5219.0
1180,Austria,20487,Eastern European,50.0
1181,Belgium,23711,Eastern European,27.0
1182,Bulgaria,4469,Eastern European,980.0
1183,Croatia,8375,Eastern European,170.0
1184,Czech Republic,14844,Eastern European,401.0
1185,Denmark,9485,Eastern European,5.0
1186,Finland,7372,Eastern European,24.0
1187,France,155288,Eastern European,152.0
1188,Germany,115333,Eastern European,197.0
1189,Greece,33763,Eastern European,107.0
1190,Hungary,7431,Eastern European,465.0
1191,Ireland,11203,Eastern European,32.0
1192,Italy,224763,Eastern European,74.0
1193,Poland,24698,Eastern European,785.0
1194,Portugal,32592,Eastern European,24.0
1195,Romania,7842,Eastern European,666.0
1196,Slovakia,4251,Eastern European,242.0
1197,Spain,157479,Eastern European,172.0
1198,Sweden,18555,Eastern European,18.0
1199,The Netherlands,29792,Eastern European,37.0
1200,United Kingdom,171664,Eastern European,1346.0
1201,Austria,20487,Central Asian,14.0
1202,Belgium,23711,Central Asian,11.0
1203,Bulgaria,4469,Central Asian,2.0
1204,Croatia,8375,Central Asian,1.0
1205,Czech Republic,14844,Central Asian,10.0
1206,Denmark,9485,Central Asian,2.0
1207,Finland,7372,Central Asian,1.0
1208,France,155288,Central Asian,57.0
1209,Germany,115333,Central Asian,37.0
1210,Greece,33763,Central Asian,3.0
1211,Hungary,7431,Central Asian,3.0
1212,Ireland,11203,Central Asian,4.0
1213,Italy,224763,Central Asian,59.0
1214,Poland,24698,Central Asian,30.0
1215,Portugal,32592,Central Asian,12.0
1216,Romania,7842,Central Asian,3.0
1217,Slovakia,4251,Central Asian,6.0
1218,Spain,157479,Central Asian,145.0
1219,Sweden,18555,Central Asian,4.0
1220,The Netherlands,29792,Central Asian,20.0
1221,United Kingdom,171664,Central Asian,62.0
1222,Austria,20487,Colombian,3.0
1223,Belgium,23711,Colombian,3.0
1224,Bulgaria,4469,Colombian,2.0
1225,Croatia,8375,Colombian,1.0
1226,Czech Republic,14844,Colombian,1.0
1227,Denmark,9485,Colombian,1.0
1228,Finland,7372,Colombian,1.0
1229,France,155288,Colombian,47.0
1230,Germany,115333,Colombian,28.0
1231,Greece,33763,Colombian,2.0
1232,Hungary,7431,Colombian,1.0
1233,Ireland,11203,Colombian,3.0
1234,Italy,224763,Colombian,22.0
1235,Poland,24698,Colombian,1.0
1236,Portugal,32592,Colombian,2.0
1237,Romania,7842,Colombian,7.0
1238,Slovakia,4251,Colombian,1.0
1239,Spain,157479,Colombian,260.0
1240,Sweden,18555,Colombian,2.0
1241,The Netherlands,29792,Colombian,15.0
1242,United Kingdom,171664,Colombian,63.0
1243,Austria,20487,Lebanese,19.0
1244,Belgium,23711,Lebanese,156.0
1245,Bulgaria,4469,Lebanese,10.0
1246,Croatia,8375,Lebanese,4.0
1247,Czech Republic,14844,Lebanese,17.0
1248,Denmark,9485,Lebanese,33.0
1249,Finland,7372,Lebanese,13.0
1250,France,155288,Lebanese,974.0
1251,Germany,115333,Lebanese,239.0
1252,Greece,33763,Lebanese,47.0
1253,Hungary,7431,Lebanese,11.0
1254,Ireland,11203,Lebanese,28.0
1255,Italy,224763,Lebanese,101.0
1256,Poland,24698,Lebanese,54.0
1257,Portugal,32592,Lebanese,18.0
1258,Romania,7842,Lebanese,96.0
1259,Spain,157479,Lebanese,249.0
1260,Sweden,18555,Lebanese,153.0
1261,The Netherlands,29792,Lebanese,75.0
1262,United Kingdom,171664,Lebanese,781.0
1263,Austria,20487,Arabic,43.0
1264,Belgium,23711,Arabic,53.0
1265,Bulgaria,4469,Arabic,14.0
1266,Croatia,8375,Arabic,6.0
1267,Czech Republic,14844,Arabic,29.0
1268,Denmark,9485,Arabic,34.0
1269,Finland,7372,Arabic,11.0
1270,France,155288,Arabic,240.0
1271,Germany,115333,Arabic,337.0
1272,Greece,33763,Arabic,56.0
1273,Hungary,7431,Arabic,22.0
1274,Ireland,11203,Arabic,22.0
1275,Italy,224763,Arabic,185.0
1276,Poland,24698,Arabic,99.0
1277,Portugal,32592,Arabic,19.0
1278,Romania,7842,Arabic,49.0
1279,Slovakia,4251,Arabic,8.0
1280,Spain,157479,Arabic,242.0
1281,Sweden,18555,Arabic,61.0
1282,The Netherlands,29792,Arabic,126.0
1283,United Kingdom,171664,Arabic,298.0
1284,Austria,20487,Caucasian,2.0
1285,Bulgaria,4469,Caucasian,4.0
1286,Croatia,8375,Caucasian,2.0
1287,Czech Republic,14844,Caucasian,6.0
1288,Denmark,9485,Caucasian,1.0
1289,Finland,7372,Caucasian,7.0
1290,France,155288,Caucasian,18.0
1291,Germany,115333,Caucasian,14.0
1292,Greece,33763,Caucasian,4.0
1293,Hungary,7431,Caucasian,1.0
1294,Ireland,11203,Caucasian,1.0
1295,Italy,224763,Caucasian,9.0
1296,Poland,24698,Caucasian,23.0
1297,Portugal,32592,Caucasian,7.0
1298,Romania,7842,Caucasian,3.0
1299,Slovakia,4251,Caucasian,1.0
1300,Spain,157479,Caucasian,23.0
1301,Sweden,18555,Caucasian,156.0
1302,The Netherlands,29792,Caucasian,4.0
1303,United Kingdom,171664,Caucasian,32.0
1304,Austria,20487,Swiss,24.0
1305,Belgium,23711,Swiss,29.0
1306,Bulgaria,4469,Swiss,2.0
1307,Czech Republic,14844,Swiss,4.0
1308,Denmark,9485,Swiss,1.0
1309,Finland,7372,Swiss,3.0
1310,France,155288,Swiss,93.0
1311,Germany,115333,Swiss,85.0
1312,Greece,33763,Swiss,7.0
1313,Hungary,7431,Swiss,3.0
1314,Italy,224763,Swiss,25.0
1315,Poland,24698,Swiss,9.0
1316,Portugal,32592,Swiss,11.0
1317,Romania,7842,Swiss,3.0
1318,Slovakia,4251,Swiss,1.0
1319,Spain,157479,Swiss,57.0
1320,Sweden,18555,Swiss,4.0
1321,The Netherlands,29792,Swiss,11.0
1322,United Kingdom,171664,Swiss,16.0
1323,Austria,20487,Northern-Italian,13.0
1324,Belgium,23711,Northern-Italian,21.0
1325,Bulgaria,4469,Northern-Italian,2.0
1326,Croatia,8375,Northern-Italian,6.0
1327,Czech Republic,14844,Northern-Italian,6.0
1328,Denmark,9485,Northern-Italian,8.0
1329,Finland,7372,Northern-Italian,1.0
1330,France,155288,Northern-Italian,141.0
1331,Germany,115333,Northern-Italian,106.0
1332,Greece,33763,Northern-Italian,20.0
1333,Hungary,7431,Northern-Italian,5.0
1334,Italy,224763,Northern-Italian,9727.0
1335,Poland,24698,Northern-Italian,22.0
1336,Portugal,32592,Northern-Italian,6.0
1337,Romania,7842,Northern-Italian,8.0
1338,Slovakia,4251,Northern-Italian,4.0
1339,Spain,157479,Northern-Italian,76.0
1340,Sweden,18555,Northern-Italian,2.0
1341,The Netherlands,29792,Northern-Italian,25.0
1342,United Kingdom,171664,Northern-Italian,50.0
1343,Austria,20487,Korean,49.0
1344,Belgium,23711,Korean,32.0
1345,Bulgaria,4469,Korean,8.0
1346,Croatia,8375,Korean,11.0
1347,Czech Republic,14844,Korean,32.0
1348,Denmark,9485,Korean,17.0
1349,Finland,7372,Korean,25.0
1350,France,155288,Korean,365.0
1351,Germany,115333,Korean,303.0
1352,Greece,33763,Korean,7.0
1353,Hungary,7431,Korean,18.0
1354,Ireland,11203,Korean,18.0
1355,Italy,224763,Korean,83.0
1356,Poland,24698,Korean,79.0
1357,Portugal,32592,Korean,18.0
1358,Romania,7842,Korean,8.0
1359,Slovakia,4251,Korean,3.0
1360,Spain,157479,Korean,159.0
1361,Sweden,18555,Korean,76.0
1362,The Netherlands,29792,Korean,64.0
1363,United Kingdom,171664,Korean,386.0
1364,Austria,20487,Latin,39.0
1365,Belgium,23711,Latin,45.0
1366,Bulgaria,4469,Latin,7.0
1367,Croatia,8375,Latin,8.0
1368,Czech Republic,14844,Latin,28.0
1369,Denmark,9485,Latin,37.0
1370,Finland,7372,Latin,19.0
1371,France,155288,Latin,318.0
1372,Germany,115333,Latin,269.0
1373,Greece,33763,Latin,52.0
1374,Hungary,7431,Latin,12.0
1375,Ireland,11203,Latin,12.0
1376,Italy,224763,Latin,265.0
1377,Poland,24698,Latin,35.0
1378,Portugal,32592,Latin,88.0
1379,Romania,7842,Latin,12.0
1380,Slovakia,4251,Latin,5.0
1381,Spain,157479,Latin,1363.0
1382,Sweden,18555,Latin,46.0
1383,The Netherlands,29792,Latin,93.0
1384,United Kingdom,171664,Latin,279.0
1385,Austria,20487,Israeli,24.0
1386,Belgium,23711,Israeli,13.0
1387,Bulgaria,4469,Israeli,7.0
1388,Croatia,8375,Israeli,2.0
1389,Czech Republic,14844,Israeli,12.0
1390,Denmark,9485,Israeli,6.0
1391,Finland,7372,Israeli,5.0
1392,France,155288,Israeli,91.0
1393,Germany,115333,Israeli,95.0
1394,Greece,33763,Israeli,7.0
1395,Hungary,7431,Israeli,27.0
1396,Ireland,11203,Israeli,1.0
1397,Italy,224763,Israeli,74.0
1398,Poland,24698,Israeli,72.0
1399,Portugal,32592,Israeli,12.0
1400,Romania,7842,Israeli,11.0
1401,Slovakia,4251,Israeli,5.0
1402,Spain,157479,Israeli,31.0
1403,Sweden,18555,Israeli,9.0
1404,The Netherlands,29792,Israeli,35.0
1405,United Kingdom,171664,Israeli,72.0
1406,Austria,20487,Sicilian,13.0
1407,Belgium,23711,Sicilian,44.0
1408,Bulgaria,4469,Sicilian,4.0
1409,Czech Republic,14844,Sicilian,3.0
1410,Denmark,9485,Sicilian,15.0
1411,Finland,7372,Sicilian,3.0
1412,France,155288,Sicilian,153.0
1413,Germany,115333,Sicilian,109.0
1414,Greece,33763,Sicilian,12.0
1415,Hungary,7431,Sicilian,16.0
1416,Ireland,11203,Sicilian,14.0
1417,Italy,224763,Sicilian,4611.0
1418,Poland,24698,Sicilian,28.0
1419,Portugal,32592,Sicilian,8.0
1420,Romania,7842,Sicilian,10.0
1421,Slovakia,4251,Sicilian,4.0
1422,Spain,157479,Sicilian,232.0
1423,Sweden,18555,Sicilian,1.0
1424,The Netherlands,29792,Sicilian,28.0
1425,United Kingdom,171664,Sicilian,358.0
1426,Austria,20487,African,12.0
1427,Belgium,23711,African,79.0
